--------
test
--------


A;B;C



0;0,0V;1,0cm;0,0ms
1;0,012566287931117902V;1,0cm;0,001ms
2;0,025132079766705215V;1,0cm;0,002ms
3;0,03769687943081635V;1,0cm;0,003ms
4;0,05026019088667496V;1,0cm;0,004ms
5;0,06282151815625658V;1,0cm;0,005ms
6;0,07538036533986908V;1,0cm;0,006ms
7;0,0879362366357298V;1,0cm;0,007ms
8;0,10048863635953911V;1,0cm;0,008ms
9;0,11303706896404907V;1,0cm;0,009000000000000001ms
10;0,12558103905862675V;1,0cm;0,01ms
11;0,13812005142881156V;1,0cm;0,011ms
12;0,15065361105586544V;1,0cm;0,012ms
13;0,1631812231363151V;1,0cm;0,013000000000000001ms
14;0,17570239310148633V;1,0cm;0,014ms
15;0,18821662663702862V;1,0cm;0,015ms
16;0,2007234297024298V;1,0cm;0,016ms
17;0,21322230855051982V;1,0cm;0,017ms
18;0,2257127697469634V;1,0cm;0,018000000000000002ms
19;0,23819432018973946V;1,0cm;0,019ms
20;0,2506664671286085V;1,0cm;0,02ms
21;0,263128718184565V;1,0cm;0,021ms
22;0,2755805813692761V;1,0cm;0,022ms
23;0,28802156510450433V;1,0cm;0,023ms
24;0,3004511782415141V;1,0cm;0,024ms
25;0,31286893008046174V;1,0cm;0,025ms
26;0,3252743303897672V;1,0cm;0,026000000000000002ms
27;0,33766688942546774V;1,0cm;0,027ms
28;0,35004611795055207V;1,0cm;0,028ms
29;0,3624115272542747V;1,0cm;0,029ms
30;0,3747626291714492V;1,0cm;0,03ms
31;0,38709893610172047V;1,0cm;0,031ms
32;0,39941996102881405V;1,0cm;0,032ms
33;0,41172521753976266V;1,0cm;0,033ms
34;0,42401421984410925V;1,0cm;0,034ms
35;0,43628648279308513V;1,0cm;0,035ms
36;0,4485415218987624V;1,0cm;0,036000000000000004ms
37;0,46077885335318114V;1,0cm;0,037ms
38;0,47299799404744935V;1,0cm;0,038ms
39;0,4851984615908148V;1,0cm;0,039ms
40;0,4973797743297096V;1,0cm;0,04ms
41;0,5095414513667643V;1,0cm;0,041ms
42;0,5216830125797939V;1,0cm;0,042ms
43;0,5338039786407511V;1,0cm;0,043000000000000003ms
44;0,5459038710346503V;1,0cm;0,044ms
45;0,5579822120784586V;1,0cm;0,045ms
46;0,5700385249399522V;1,0cm;0,046ms
47;0,5820723336565437V;1,0cm;0,047ms
48;0,5940831631540698V;1,0cm;0,048ms
49;0,6060705392655479V;1,0cm;0,049ms
50;0,6180339887498948V;1,0cm;0,05ms
51;0,6299730393106096V;1,0cm;0,051000000000000004ms
52;0,6418872196144191V;1,0cm;0,052000000000000005ms
53;0,6537760593098849V;1,0cm;0,053ms
54;0,6656390890459732V;1,0cm;0,054ms
55;0,6774758404905827V;1,0cm;0,055ms
56;0,6892858463490341V;1,0cm;0,056ms
57;0,701068640382518V;1,0cm;0,057ms
58;0,7128237574265015V;1,0cm;0,058ms
59;0,7245507334090914V;1,0cm;0,059000000000000004ms
60;0,7362491053693558V;1,0cm;0,06ms
61;0,7479184114756008V;1,0cm;0,061ms
62;0,7595581910436021V;1,0cm;0,062ms
63;0,7711679845547931V;1,0cm;0,063ms
64;0,7827473336744049V;1,0cm;0,064ms
65;0,7942957812695612V;1,0cm;0,065ms
66;0,8058128714273253V;1,0cm;0,066ms
67;0,8172981494726981V;1,0cm;0,067ms
68;0,8287511619865683V;1,0cm;0,068ms
69;0,8401714568236125V;1,0cm;0,069ms
70;0,8515585831301454V;1,0cm;0,07ms
71;0,862912091361918V;1,0cm;0,07100000000000001ms
72;0,8742315333018659V;1,0cm;0,07200000000000001ms
73;0,8855164620778029V;1,0cm;0,073ms
74;0,8967664321800645V;1,0cm;0,074ms
75;0,9079809994790935V;1,0cm;0,075ms
76;0,9191597212429756V;1,0cm;0,076ms
77;0,9303021561549166V;1,0cm;0,077ms
